video,image,image_mask,group_2,group_3,group_4,group_original,dataset
2020-09-24-3,969905035s184ms.jpg,969905035s184ms.png,0.0,0.0,0.0,0.0,train
2020-10-02-10-17-05-3,970588340s260ms.jpg,970588340s260ms.png,0.0,0.0,0.0,1.0,train
2020-09-24-3,969905551s166ms.jpg,969905551s166ms.png,0.0,1.0,1.0,2.0,train
2020-10-02-10-17-05-3,970588244s264ms.jpg,970588244s264ms.png,0.0,0.0,1.0,1.0,train
2020-09-29-09-46-42-3,970328566s709ms.jpg,970328566s709ms.png,0.0,0.0,1.0,1.0,train
2020-09-24-1,969902113s258ms.jpg,969902113s258ms.png,0.0,0.0,0.0,1.0,train
2020-10-02-10-17-05-3,970588196s250ms.jpg,970588196s250ms.png,0.0,0.0,0.0,0.0,train
2020-10-02-10-17-05-3,970588218s272ms.jpg,970588218s272ms.png,0.0,0.0,0.0,1.0,train
2020-09-29-09-46-42-1,970326225s797ms.jpg,970326225s797ms.png,0.0,0.0,0.0,1.0,train
2020-09-23-VIRB0008,969832334s663ms.jpg,969832334s663ms.png,1.0,1.0,2.0,2.0,train
2020-09-29-09-46-42-3,970329191s700ms.jpg,970329191s700ms.png,0.0,0.0,1.0,1.0,train
2020-09-24-1,969902242s253ms.jpg,969902242s253ms.png,1.0,1.0,2.0,3.0,train
2020-10-02-10-17-05-3,970588409s262ms.jpg,970588409s262ms.png,1.0,1.0,1.0,2.0,train
2020-09-24-1,969902706s250ms.jpg,969902706s250ms.png,0.0,1.0,1.0,1.0,train
2020-09-24-1,969902419s230ms.jpg,969902419s230ms.png,0.0,0.0,0.0,1.0,train
2020-09-29-09-46-42-3,970328897s706ms.jpg,970328897s706ms.png,0.0,1.0,1.0,1.0,train
2020-09-24-1,969901938s250ms.jpg,969901938s250ms.png,0.0,0.0,0.0,1.0,train
2020-09-29-09-46-42-1,970326293s799ms.jpg,970326293s799ms.png,0.0,1.0,1.0,2.0,train
2020-09-29-09-46-42-1,970326745s783ms.jpg,970326745s783ms.png,1.0,1.0,2.0,3.0,train
2020-09-24-1,969902410s255ms.jpg,969902410s255ms.png,0.0,0.0,1.0,1.0,train
2020-09-29-09-46-42-3,970329101s710ms.jpg,970329101s710ms.png,0.0,0.0,0.0,1.0,train
2020-10-02-10-17-05-3,970588171s258ms.jpg,970588171s258ms.png,0.0,0.0,0.0,1.0,train
2020-10-02-10-17-05-3,970588355s242ms.jpg,970588355s242ms.png,0.0,0.0,0.0,1.0,train
2020-09-29-09-46-42-3,970328605s714ms.jpg,970328605s714ms.png,0.0,1.0,1.0,2.0,train
2020-09-29-09-46-42-3,970328655s698ms.jpg,970328655s698ms.png,0.0,1.0,1.0,2.0,train
