video,image,group_2,group_3,group_4,group_original,dataset
2020-09-24-3,969905035s184ms.jpg,0.0,0.0,0.0,0.0,train
2020-10-02-10-17-05-3,970588340s260ms.jpg,0.0,0.0,0.0,1.0,train
2020-09-24-3,969905551s166ms.jpg,0.0,1.0,1.0,2.0,train
2020-10-02-10-17-05-3,970588244s264ms.jpg,0.0,0.0,1.0,1.0,train
2020-10-02-10-17-05-3,970588138s258ms.jpg,0.0,0.0,1.0,1.0,train
2020-07-28-06-01-11,964869288s707ms.jpg,0.0,0.0,0.0,0.0,train
2020-09-29-09-46-42-3,970328566s709ms.jpg,0.0,0.0,1.0,1.0,train
2020-09-24-1,969902113s258ms.jpg,0.0,0.0,0.0,1.0,train
2020-10-02-10-17-05-3,970588196s250ms.jpg,0.0,0.0,0.0,0.0,train
2020-10-02-10-17-05-3,970588218s272ms.jpg,0.0,0.0,0.0,1.0,train
2020-09-29-09-46-42-1,970326225s797ms.jpg,0.0,0.0,0.0,1.0,train
2020-09-23-VIRB0008,969832334s663ms.jpg,1.0,1.0,2.0,2.0,train
2020-09-29-09-46-42-3,970329191s700ms.jpg,0.0,0.0,1.0,1.0,train
2020-09-24-1,969902242s253ms.jpg,1.0,1.0,2.0,3.0,train
2020-10-02-10-17-05-3,970588409s262ms.jpg,1.0,1.0,1.0,2.0,train
2020-09-24-1,969902706s250ms.jpg,0.0,1.0,1.0,1.0,train
2020-09-24-1,969902419s230ms.jpg,0.0,0.0,0.0,1.0,train
2020-09-29-09-46-42-3,970328897s706ms.jpg,0.0,1.0,1.0,1.0,train
2020-09-24-1,969901938s250ms.jpg,0.0,0.0,0.0,1.0,train
2020-09-29-09-46-42-1,970326293s799ms.jpg,0.0,1.0,1.0,2.0,train
2020-09-29-09-46-42-1,970326745s783ms.jpg,1.0,1.0,2.0,3.0,train
2020-10-02-10-17-05-3,970588289s242ms.jpg,0.0,1.0,1.0,1.0,train
2020-09-24-1,969902410s255ms.jpg,0.0,0.0,1.0,1.0,train
2020-09-29-09-46-42-3,970329101s710ms.jpg,0.0,0.0,0.0,1.0,train
2020-09-29-09-46-42-2,970326810s200ms.jpg,0.0,0.0,0.0,0.0,train
2020-10-02-10-17-05-3,970588171s258ms.jpg,0.0,0.0,0.0,1.0,train
2020-10-02-10-17-05-3,970588355s242ms.jpg,0.0,0.0,0.0,1.0,train
2020-09-29-09-46-42-3,970328605s714ms.jpg,0.0,1.0,1.0,2.0,train
2020-09-29-09-46-42-3,970328655s698ms.jpg,0.0,1.0,1.0,2.0,train
2020-09-29-09-46-42-1,970325701s807ms.jpg,0.0,1.0,1.0,1.0,train
2020-07-28-06-01-11,964869557s709ms.jpg,0.0,0.0,0.0,0.0,train
2020-09-23-VIRB0008,969832349s645ms.jpg,1.0,2.0,2.0,3.0,train
2020-09-29-09-46-42-3,970328671s714ms.jpg,0.0,0.0,0.0,1.0,train
2020-09-29-09-46-42-2,970326837s227ms.jpg,0.0,1.0,1.0,2.0,train
2020-09-24-1,969902469s247ms.jpg,0.0,0.0,0.0,1.0,train
2020-09-29-09-46-42-3,970328677s686ms.jpg,0.0,1.0,1.0,2.0,train
2020-09-29-09-46-42-3,970329050s692ms.jpg,0.0,0.0,0.0,0.0,train
2020-09-24-3,969904774s190ms.jpg,0.0,0.0,0.0,0.0,train
2020-09-29-09-46-42-1,970325502s808ms.jpg,0.0,0.0,0.0,1.0,train
2020-09-29-09-46-42-1,970325639s812ms.jpg,0.0,0.0,0.0,0.0,train
2020-09-24-3,969905149s164ms.jpg,0.0,0.0,0.0,1.0,train
2020-09-24-1,969902433s244ms.jpg,0.0,0.0,0.0,1.0,train
2020-07-28-06-01-11,964868645s698ms.jpg,0.0,0.0,0.0,1.0,train
2020-09-24-3,969905254s169ms.jpg,1.0,1.0,2.0,3.0,train
2020-09-23-VIRB0004,969830843s204ms.jpg,1.0,2.0,3.0,3.0,train
2020-09-24-1,969902478s256ms.jpg,0.0,0.0,0.0,1.0,train
2020-09-24-1,969902280s258ms.jpg,0.0,0.0,0.0,0.0,train
2020-09-24-3,969905470s185ms.jpg,0.0,0.0,0.0,0.0,train
2020-09-29-09-46-42-3,970328507s716ms.jpg,1.0,1.0,2.0,2.0,train
2020-09-29-09-46-42-1,970326480s785ms.jpg,1.0,1.0,2.0,2.0,train
2020-09-24-3,969904815s164ms.jpg,0.0,0.0,1.0,1.0,train
2020-09-29-09-46-42-2,970328233s222ms.jpg,0.0,1.0,1.0,2.0,train
2020-09-29-09-46-42-3,970328556s699ms.jpg,0.0,0.0,0.0,1.0,train
2020-09-29-09-46-42-1,970325941s814ms.jpg,0.0,0.0,1.0,1.0,train
2020-09-24-1,969902024s236ms.jpg,0.0,0.0,0.0,1.0,train
2020-09-24-1,969902266s244ms.jpg,0.0,1.0,1.0,1.0,train
2020-09-24-3,969905026s175ms.jpg,0.0,1.0,1.0,1.0,train
2020-09-29-09-46-42-3,970329198s707ms.jpg,0.0,0.0,0.0,1.0,train
2020-09-29-09-46-42-1,970326538s810ms.jpg,0.0,0.0,0.0,0.0,train
2020-09-24-1,969902805s249ms.jpg,0.0,0.0,1.0,1.0,train
2020-09-23-VIRB0008,969832369s665ms.jpg,1.0,2.0,2.0,3.0,train
2020-10-02-10-17-05-3,970588317s270ms.jpg,0.0,0.0,0.0,0.0,train
2020-09-29-09-46-42-1,970326632s804ms.jpg,0.0,1.0,1.0,1.0,train
2020-09-24-3,969905060s175ms.jpg,0.0,0.0,0.0,1.0,train
2020-09-24-1,969902693s237ms.jpg,0.0,0.0,1.0,1.0,train
2020-09-29-09-46-42-3,970328528s704ms.jpg,1.0,1.0,1.0,2.0,train
2020-09-24-1,969902846s257ms.jpg,0.0,0.0,0.0,0.0,train
2020-09-24-1,969902917s228ms.jpg,0.0,1.0,1.0,2.0,train
2020-09-29-09-46-42-1,970326221s793ms.jpg,0.0,0.0,1.0,1.0,train
2020-09-24-1,969902139s251ms.jpg,0.0,0.0,0.0,0.0,train
2020-10-02-10-17-05-3,970588117s271ms.jpg,1.0,2.0,3.0,3.0,train
2020-09-29-09-46-42-1,970326434s806ms.jpg,1.0,1.0,2.0,2.0,train
2020-09-24-1,969902528s239ms.jpg,1.0,1.0,2.0,3.0,train
2020-09-29-09-46-42-1,970325747s787ms.jpg,0.0,0.0,0.0,1.0,train
2020-09-29-09-46-42-1,970326055s794ms.jpg,0.0,1.0,1.0,2.0,train
2020-09-29-09-46-42-1,970326110s782ms.jpg,1.0,1.0,2.0,3.0,train
2020-10-02-10-17-05-3,970588354s241ms.jpg,0.0,0.0,1.0,1.0,train
2020-09-29-09-46-42-1,970326033s806ms.jpg,1.0,1.0,2.0,3.0,train
2020-09-24-1,969902267s245ms.jpg,0.0,1.0,1.0,1.0,train
2020-09-29-09-46-42-1,970325899s805ms.jpg,0.0,0.0,1.0,1.0,train
2020-09-24-1,969902575s253ms.jpg,1.0,1.0,2.0,2.0,train
2020-09-29-09-46-42-1,970325878s784ms.jpg,1.0,1.0,2.0,3.0,train
2020-07-28-06-01-11,964869227s712ms.jpg,1.0,1.0,2.0,3.0,train
2020-07-28-06-01-11,964868665s718ms.jpg,1.0,1.0,2.0,3.0,train
2020-09-24-1,969901880s259ms.jpg,0.0,0.0,0.0,0.0,train
2020-09-24-1,969902672s250ms.jpg,0.0,1.0,1.0,1.0,train
2020-09-24-1,969902608s252ms.jpg,0.0,1.0,1.0,1.0,train
2020-09-29-09-46-42-3,970328420s696ms.jpg,1.0,1.0,2.0,3.0,train
2020-09-24-3,969905351s166ms.jpg,0.0,0.0,0.0,1.0,train
2020-09-24-1,969901818s230ms.jpg,0.0,0.0,0.0,1.0,train
2020-09-29-09-46-42-3,970329254s696ms.jpg,0.0,0.0,0.0,0.0,train
2020-09-24-1,969902035s247ms.jpg,0.0,0.0,0.0,1.0,train
2020-09-24-3,969905152s167ms.jpg,0.0,0.0,0.0,0.0,train
2020-09-29-09-46-42-1,970325749s789ms.jpg,0.0,0.0,0.0,1.0,train
2020-09-29-09-46-42-3,970328681s690ms.jpg,0.0,1.0,1.0,2.0,train
2020-09-29-09-46-42-1,970326091s797ms.jpg,0.0,1.0,1.0,2.0,train
2020-09-29-09-46-42-1,970326098s804ms.jpg,0.0,0.0,1.0,1.0,train
2020-09-29-09-46-42-3,970328375s685ms.jpg,0.0,0.0,0.0,1.0,train
2020-09-24-3,969905355s170ms.jpg,0.0,0.0,0.0,1.0,train
2020-09-29-09-46-42-1,970325872s811ms.jpg,0.0,0.0,1.0,1.0,train
2020-09-24-3,969904877s193ms.jpg,0.0,1.0,1.0,2.0,train
2020-09-29-09-46-42-1,970326386s792ms.jpg,0.0,1.0,1.0,2.0,train
2020-09-24-1,969902529s240ms.jpg,0.0,0.0,0.0,1.0,train
2020-09-29-09-46-42-3,970328999s708ms.jpg,0.0,0.0,0.0,1.0,train
2020-09-29-09-46-42-3,970329295s704ms.jpg,1.0,2.0,3.0,3.0,train
2020-09-29-09-46-42-1,970326178s784ms.jpg,0.0,0.0,0.0,1.0,train
2020-09-24-3,969904782s164ms.jpg,0.0,1.0,1.0,1.0,train
2020-10-02-10-17-05-3,970588129s249ms.jpg,0.0,1.0,1.0,2.0,train
2020-09-29-09-46-42-1,970325799s805ms.jpg,1.0,1.0,1.0,2.0,train
2020-09-29-09-46-42-3,970329035s711ms.jpg,0.0,0.0,0.0,0.0,train
2020-09-29-09-46-42-1,970326182s788ms.jpg,0.0,0.0,1.0,1.0,train
2020-09-29-09-46-42-1,970325987s793ms.jpg,0.0,0.0,0.0,0.0,train
2020-10-02-10-17-05-3,970588208s262ms.jpg,0.0,0.0,0.0,1.0,train
2020-09-24-1,969902252s230ms.jpg,0.0,1.0,1.0,2.0,train
2020-09-29-09-46-42-1,970326254s793ms.jpg,0.0,0.0,1.0,1.0,train
2020-10-02-10-17-05-3,970588243s263ms.jpg,0.0,1.0,1.0,2.0,train
