,video,image,group_original,group_2,group_3,group_4,group_5
0,2020-09-24-1,969902383s228ms.jpg,3.0,1.0,1.0,2.0,2.0
1,2020-09-24-1,969902516s227ms.jpg,2.0,0.0,1.0,1.0,2.0
2,2020-09-24-1,969902832s243ms.jpg,0.0,0.0,0.0,0.0,0.0
3,2020-09-29-09-46-42-4,970330409s202ms.jpg,0.0,0.0,0.0,0.0,0.0
4,2020-09-24-1,969901887s232ms.jpg,0.0,0.0,0.0,0.0,0.0
5,2020-09-24-4,969906314s681ms.jpg,0.0,0.0,0.0,0.0,0.0
6,2020-09-29-09-46-42-3,970328631s707ms.jpg,1.0,0.0,0.0,0.0,0.0
7,2020-09-29-09-46-42-3,970328260s703ms.jpg,3.0,1.0,1.0,2.0,3.0
8,2020-09-24-3,969904782s164ms.jpg,1.0,0.0,0.0,0.0,0.0
9,2020-09-24-3,969905518s166ms.jpg,2.0,0.0,1.0,1.0,1.0
10,2020-09-29-09-46-42-1,970325836s809ms.jpg,3.0,1.0,1.0,2.0,3.0
11,2020-09-29-09-46-42-3,970329282s691ms.jpg,2.0,1.0,1.0,2.0,2.0
12,2020-09-29-09-46-42-4,970329824s184ms.jpg,1.0,0.0,0.0,0.0,1.0
13,2020-09-29-09-46-42-3,970328903s712ms.jpg,3.0,1.0,2.0,3.0,4.0
14,2020-09-24-4,969906482s649ms.jpg,2.0,0.0,1.0,1.0,2.0
15,2020-09-29-09-46-42-4,970330018s178ms.jpg,0.0,0.0,0.0,0.0,0.0
16,2020-09-24-1,969902179s257ms.jpg,1.0,0.0,1.0,1.0,1.0
17,2020-09-29-09-46-42-3,970329417s692ms.jpg,1.0,0.0,0.0,0.0,0.0
18,2020-09-29-09-46-42-3,970329154s696ms.jpg,1.0,0.0,0.0,1.0,1.0
19,2020-09-29-09-46-42-4,970329916s176ms.jpg,2.0,1.0,1.0,2.0,2.0
20,2020-09-29-09-46-42-3,970328648s691ms.jpg,2.0,1.0,1.0,2.0,2.0
21,2020-09-24-1,969902124s236ms.jpg,1.0,0.0,0.0,0.0,1.0
22,2020-09-29-09-46-42-3,970329717s692ms.jpg,1.0,0.0,0.0,0.0,0.0
23,2020-09-24-3,969905009s191ms.jpg,1.0,0.0,0.0,0.0,0.0
24,2020-09-29-09-46-42-4,970329835s195ms.jpg,0.0,0.0,0.0,0.0,0.0
25,2020-09-29-09-46-42-4,970330346s172ms.jpg,2.0,1.0,1.0,2.0,2.0
26,2020-09-29-09-46-42-1,970326733s805ms.jpg,0.0,0.0,0.0,0.0,0.0
27,2020-09-24-1,969902140s252ms.jpg,1.0,0.0,0.0,0.0,1.0
28,2020-09-29-09-46-42-3,970328966s708ms.jpg,1.0,0.0,0.0,0.0,1.0
29,2020-09-29-09-46-42-1,970326301s807ms.jpg,0.0,0.0,0.0,0.0,0.0
30,2020-09-24-4,969906461s661ms.jpg,1.0,0.0,0.0,1.0,1.0
31,2020-09-24-4,969906380s681ms.jpg,1.0,0.0,0.0,0.0,0.0
32,2020-09-29-09-46-42-4,970329843s170ms.jpg,3.0,1.0,1.0,2.0,2.0
33,2020-09-29-09-46-42-1,970326194s800ms.jpg,1.0,0.0,0.0,0.0,1.0
