,image,group_2,group_3,group_4,group_original
0,969902383s228ms.jpg,0.0,0.0,0.0,1.0
1,969902516s227ms.jpg,0.0,0.0,0.0,1.0
2,969902832s243ms.jpg,0.0,0.0,0.0,1.0
3,970330409s202ms.jpg,0.0,1.0,1.0,1.0
4,969901887s232ms.jpg,0.0,1.0,1.0,2.0
5,969906314s681ms.jpg,1.0,2.0,2.0,3.0
6,970328631s707ms.jpg,1.0,2.0,3.0,3.0
7,970328260s703ms.jpg,1.0,1.0,1.0,2.0
8,969904782s164ms.jpg,0.0,1.0,1.0,1.0
9,969905518s166ms.jpg,1.0,1.0,1.0,2.0
10,970325836s809ms.jpg,1.0,2.0,2.0,3.0
11,970329282s691ms.jpg,1.0,1.0,2.0,2.0
12,970329824s184ms.jpg,0.0,0.0,0.0,1.0
13,970328903s712ms.jpg,1.0,2.0,3.0,3.0
14,969906482s649ms.jpg,1.0,2.0,2.0,3.0
15,970330018s178ms.jpg,0.0,0.0,0.0,1.0
16,969902179s257ms.jpg,0.0,1.0,1.0,2.0
17,970329417s692ms.jpg,1.0,2.0,2.0,3.0
18,970329154s696ms.jpg,0.0,0.0,0.0,0.0
19,970329916s176ms.jpg,1.0,1.0,2.0,2.0
20,970328648s691ms.jpg,0.0,1.0,1.0,2.0
21,969902124s236ms.jpg,0.0,0.0,1.0,1.0
22,970329717s692ms.jpg,0.0,0.0,0.0,0.0
23,969905009s191ms.jpg,0.0,0.0,0.0,1.0
24,970329835s195ms.jpg,0.0,0.0,1.0,1.0
25,970330346s172ms.jpg,1.0,1.0,2.0,3.0
26,970326733s805ms.jpg,0.0,0.0,0.0,0.0
27,969902140s252ms.jpg,0.0,0.0,0.0,1.0
28,970328966s708ms.jpg,0.0,0.0,0.0,0.0
29,970326301s807ms.jpg,0.0,0.0,1.0,1.0
30,969906461s661ms.jpg,0.0,1.0,1.0,1.0
31,969906380s681ms.jpg,0.0,0.0,0.0,0.0
32,970329843s170ms.jpg,1.0,2.0,2.0,3.0
33,970326194s800ms.jpg,0.0,0.0,0.0,0.0
34,970329405s714ms.jpg,0.0,0.0,1.0,1.0
